# OF ORDERS,CATEGORY,DISH,COMPONENT,INGREDIENT,QUANTITY PER SERVING,UNIT,TOTAL Q FOR THIS WEEK,IN STOCK,DIFF,NEED TO SHOP?,Q,UNIT,WHERE TO SHOP (1ST CHOICE)
30,ENTREE,SQUASH & SAGE RISOTTO CAKES,RISOTTO CAKES,VEG BROTH,1.00,CUP,30.00,999,-935,NO,935,CUP,RD
30,ENTREE,SQUASH & SAGE RISOTTO CAKES,RISOTTO CAKES,NUTRITIONAL YEAST,0.13,CUP,3.75,999,-995.25,NO,995.25,CUP,RD
30,ENTREE,SQUASH & SAGE RISOTTO CAKES,RISOTTO CAKES,PARSLEY,0.13,CUP,3.75,1,2.75,YES,2.75,CUP,AMAZON
30,ENTREE,SQUASH & SAGE RISOTTO CAKES,RISOTTO CAKES,LEMON,0.25,LEMON,7.50,999,-991.5,NO,991.5,LEMON,RD
30,ENTREE,SQUASH & SAGE RISOTTO CAKES,RISOTTO CAKES,GREEN ONION,2.00,GREEN ONION,60.00,5,62.50,YES,62.5,GREEN ONION,AMAZON
30,ENTREE,SQUASH & SAGE RISOTTO CAKES,RISOTTO CAKES,LIME JUICE,0.25,LIME,7.50,999,-956.5,NO,956.5,LIME,RD
30,ENTREE,SQUASH & SAGE RISOTTO CAKES,CURRY SAUCE,COCONUT MILK,2.00,OZ,60.00,999,-904,NO,904,OZ,RD
30,ENTREE,SQUASH & SAGE RISOTTO CAKES,CURRY SAUCE,CURRY PASTE,0.25,TBSP,7.50,0,7.50,YES,7.5,TBSP,AMAZON
30,ENTREE,SQUASH & SAGE RISOTTO CAKES,CURRY SAUCE,SHALLOT,0.25,SHALLOT,7.50,2,5.50,YES,5.5,SHALLOT,AMAZON
30,ENTREE,SQUASH & SAGE RISOTTO CAKES,CURRY SAUCE,GINGER,0.25,INCH,7.50,999,-972.25,NO,972.25,INCH,RD
30,ENTREE,SQUASH & SAGE RISOTTO CAKES,CURRY SAUCE,LIME JUICE,0.25,TBSP,7.50,999,-956.5,NO,956.5,TBSP,RD
30,ENTREE,SQUASH & SAGE RISOTTO CAKES,CURRY SAUCE,SALT,0.10,TSP,3.00,999,-965.25,NO,965.25,TSP,RD
30,SIDE,OVEN ROASTED BROCCOLI WITH FRESH HERBS,WHOLE SIDE,BROCCOLI,3.00,OZ,90.00,0,90.00,YES,90,OZ,RD
30,SIDE,ROASTED BRUSSELS SPROUTS WITH BALSAMIC GLAZE,ROASTED BRUSSELS SPROUTS,BRUSSEL SPROUTS,4.00,OZ,120.00,0,120.00,YES,120,OZ,RD
30,SIDE,ROASTED BRUSSELS SPROUTS WITH BALSAMIC GLAZE,NUTS,PINE NUTS,0.13,CUP,3.75,4,-0.25,NO,0.25,CUP,RD
30,SIDE,ROASTED BRUSSELS SPROUTS WITH BALSAMIC GLAZE,BALSAMIC GLAZE,BALSAMIC,0.25,CUP,7.50,999,-991.5,NO,991.5,CUP,RD
30,SIDE,ROASTED BRUSSELS SPROUTS WITH BALSAMIC GLAZE,ROASTED BRUSSELS SPROUTS,EVOO,0.25,TBSP,7.50,999,-939.4,NO,939.4,TBSP,RD
30,SIDE,ROASTED BRUSSELS SPROUTS WITH BALSAMIC GLAZE,ROASTED BRUSSELS SPROUTS,SALT,0.06,TSP,1.80,999,-965.25,NO,965.25,TSP,RD
30,SIDE,ROASTED BRUSSELS SPROUTS WITH BALSAMIC GLAZE,BALSAMIC GLAZE,BROWN SUGAR,0.06,CUP,1.80,999,-895.35,NO,895.35,CUP,RD
20,SOUP,CURRY CAULIFLOWER & POTATO SOUP,WHOLE SOUP,CORIANDER,0.25,TSP,5.00,999,-986.5,NO,986.5,TSP,RD
